SEASON,BASIN,NATURE,LAT,LON,WIND,DIST2LAND,STORM_SPEED,STORM_DIR,TD9636_STAGE
Summer,SP,TS,-12.5,172.5,25.0,647,6.0,350.0,1.0
Summer,SP,TS,-12.2,172.4,25.0,653,6.0,350.0,1.0
Summer,SP,TS,-11.9,172.4,25.0,670,5.0,360.0,1.0
Summer,SP,TS,-11.7,172.4,25.0,682,4.0,10.0,1.0
Summer,SP,TS,-11.5,172.5,25.0,703,4.0,20.0,1.0
Summer,SP,TS,-11.3,172.6,28.0,725,4.0,35.0,1.0
Summer,SP,TS,-11.2,172.7,30.0,741,3.0,55.0,1.0
Summer,SP,TS,-11.2,172.9,30.0,758,3.0,85.0,1.0
Summer,SP,TS,-11.2,173.0,30.0,767,3.0,130.0,1.0
Summer,SP,TS,-11.3,173.1,30.0,770,4.0,150.0,1.0
Summer,SP,TS,-11.6,173.2,30.0,762,5.0,150.0,1.0
Summer,SP,TS,-11.8,173.3,33.0,760,5.0,145.0,1.0
Summer,SP,TS,-12.0,173.5,35.0,751,6.0,140.0,2.0
Summer,SP,TS,-12.2,173.7,35.0,720,6.0,135.0,2.0
Summer,SP,TS,-12.5,173.9,35.0,680,7.0,135.0,2.0
Summer,SP,TS,-12.7,174.2,35.0,643,7.0,140.0,2.0
Summer,SP,TS,-13.0,174.4,35.0,603,8.0,150.0,2.0
Summer,SP,TS,-13.4,174.6,38.0,554,9.0,160.0,2.0
Summer,SP,TS,-13.9,174.7,40.0,502,11.0,165.0,2.0
Summer,SP,TS,-14.4,174.8,45.0,451,11.0,165.0,2.0
Summer,SP,TS,-15.0,175.0,50.0,386,12.0,170.0,2.0
Summer,SP,TS,-15.6,175.1,55.0,331,13.0,165.0,2.0
Summer,SP,TS,-16.2,175.3,60.0,272,13.0,165.0,2.0
Summer,SP,TS,-16.9,175.5,63.0,216,14.0,160.0,2.0
Summer,SP,TS,-17.5,175.8,65.0,158,14.0,150.0,4.0
Summer,SP,TS,-18.1,176.2,63.0,106,15.0,140.0,4.0
Summer,SP,TS,-18.6,176.8,60.0,76,15.0,135.0,4.0
Summer,SP,TS,-19.1,177.4,55.0,102,14.0,125.0,4.0
Summer,SP,TS,-19.4,178.0,50.0,123,12.0,115.0,2.0
Summer,SP,TS,-19.6,178.6,43.0,151,11.0,95.0,2.0
Summer,SP,TS,-19.6,179.2,35.0,175,12.0,90.0,2.0
Summer,SP,TS,-19.5,179.9,33.0,201,14.0,90.0,2.0
Summer,SP,TS,-19.6,180.7,30.0,269,17.0,100.0,1.0
Summer,SP,TS,-19.8,181.6,28.0,359,20.0,105.0,1.0
Summer,SP,TS,-20.2,182.7,25.0,481,22.0,105.0,1.0
Summer,SP,TS,-20.5,183.9,25.0,590,22.0,105.0,1.0
Summer,SP,TS,-20.8,185.0,25.0,698,22.0,105.0,1.0
Summer,SP,TS,-21.1,186.1,25.0,810,22.0,105.0,1.0
Summer,SP,TS,-21.4,187.2,25.0,850,22.0,105.0,1.0
Summer,SP,TS,-21.7,188.4,28.0,886,22.0,105.0,1.0
Summer,SP,TS,-22.0,189.5,30.0,934,22.0,105.0,1.0
Summer,SP,TS,-14.7,136.6,25.0,44,2.0,15.0,1.0
Summer,SP,TS,-14.8,136.8,25.0,55,6.0,130.0,1.0
Summer,SP,TS,-15.0,137.1,25.0,79,7.0,135.0,1.0
Summer,SP,TS,-15.3,137.3,25.0,79,8.0,140.0,1.0
Summer,SP,TS,-15.7,137.6,25.0,49,8.0,140.0,1.0
Summer,SP,TS,-16.0,137.9,28.0,30,8.0,145.0,1.0
Summer,SP,TS,-16.3,138.1,30.0,30,7.0,145.0,1.0
