SID,SEASON,ISO_TIME,NATURE,LAT,LON,DIST2LAND,LANDFALL,TD9636_STAGE,STORM_SPEED,STORM_DIR,WIND,WIND_AGENCY,PRESS
1980005S14120,1980,1980-01-04 12:00:00,TS,-13.6,120.2,370,370.0,1,7.0,210.0,40.0,USA_WIND,998.0
1980005S14120,1980,1980-01-04 15:00:00,TS,-13.9,120.0,406,406.0,1,7.0,210.0,40.0,USA_WIND,998.0
1980005S14120,1980,1980-01-04 18:00:00,TS,-14.2,119.8,418,410.0,1,6.0,210.0,40.0,USA_WIND,997.0
1980005S14120,1980,1980-01-04 21:00:00,TS,-14.4,119.7,410,402.0,1,4.0,210.0,40.0,USA_WIND,996.0
1980005S14120,1980,1980-01-05 00:00:00,TS,-14.6,119.6,402,394.0,2,3.0,195.0,40.0,USA_WIND,995.0
1980005S14120,1980,1980-01-05 03:00:00,TS,-14.7,119.6,394,386.0,2,1.0,155.0,40.0,USA_WIND,994.0
1980005S14120,1980,1980-01-05 06:00:00,TS,-14.7,119.7,386,378.0,2,1.0,155.0,40.0,USA_WIND,992.0
1980005S14120,1980,1980-01-05 09:00:00,TS,-14.8,119.7,378,378.0,2,1.0,200.0,40.0,USA_WIND,991.0
1980005S14120,1980,1980-01-05 12:00:00,TS,-14.8,119.6,386,379.0,2,2.0,210.0,40.0,USA_WIND,990.0
1980005S14120,1980,1980-01-05 15:00:00,TS,-14.9,119.6,379,379.0,2,2.0,215.0,40.0,USA_WIND,989.0
1980005S14120,1980,1980-01-05 18:00:00,TS,-15.0,119.5,380,380.0,2,2.0,230.0,40.0,USA_WIND,987.0
1980005S14120,1980,1980-01-05 21:00:00,TS,-15.0,119.4,389,382.0,2,3.0,255.0,43.0,USA_WIND,986.0
1980005S14120,1980,1980-01-06 00:00:00,TS,-15.1,119.2,399,399.0,2,4.0,270.0,45.0,USA_WIND,985.0
1980005S14120,1980,1980-01-06 03:00:00,TS,-15.0,119.0,423,423.0,2,4.0,280.0,45.0,USA_WIND,983.0
1980005S14120,1980,1980-01-06 06:00:00,TS,-15.0,118.8,441,441.0,2,4.0,280.0,45.0,USA_WIND,980.0
